date,open,high,low,close,volume,ticker
11/2/2016,111.4,112.35,111.23,111.59,28331709,AAPL
11/1/2016,113.46,113.77,110.53,111.49,43825812,AAPL
10/31/2016,113.65,114.23,113.2,113.54,26419398,AAPL
10/28/2016,113.87,115.21,113.45,113.72,37861662,AAPL
10/27/2016,115.39,115.86,114.1,114.48,34562045,AAPL
10/26/2016,114.31,115.7,113.31,115.59,66134219,AAPL
10/25/2016,117.95,118.36,117.31,118.25,48128970,AAPL
10/24/2016,117.1,117.74,117,117.65,23538673,AAPL
10/21/2016,116.81,116.91,116.28,116.6,23192665,AAPL
10/20/2016,116.86,117.38,116.33,117.06,24125801,AAPL
10/19/2016,117.25,117.76,113.8,117.12,20034594,AAPL
10/18/2016,118.18,118.21,117.45,117.47,24553478,AAPL
10/17/2016,117.33,117.84,116.78,117.55,23624896,AAPL
10/14/2016,117.88,118.17,117.13,117.63,35652191,AAPL
10/13/2016,116.79,117.44,115.72,116.98,35192406,AAPL
10/12/2016,117.35,117.98,116.75,117.34,37586787,AAPL
10/11/2016,117.7,118.69,116.2,116.3,64041043,AAPL
10/10/2016,115.02,116.75,114.72,116.05,36235956,AAPL
10/7/2016,114.31,114.56,113.51,114.06,24358443,AAPL
10/6/2016,113.7,114.34,113.13,113.89,28779313,AAPL
10/5/2016,113.4,113.66,112.69,113.05,21453089,AAPL
10/4/2016,113.06,114.31,112.63,113,29736835,AAPL
10/3/2016,112.71,113.05,112.28,112.52,21701760,AAPL
9/30/2016,112.46,113.37,111.8,113.05,36379106,AAPL
9/29/2016,113.16,113.8,111.8,112.18,35886990,AAPL
9/28/2016,113.69,114.64,113.43,113.95,29641085,AAPL
9/27/2016,113,113.18,112.34,113.09,24607412,AAPL
9/26/2016,111.64,113.39,111.55,112.88,29869442,AAPL
9/23/2016,114.42,114.79,111.55,112.71,52481151,AAPL
9/22/2016,114.35,114.94,114,114.62,31073984,AAPL
9/21/2016,113.85,113.99,112.44,113.55,36003185,AAPL
9/20/2016,113.05,114.12,112.51,113.57,34514269,AAPL
9/19/2016,115.19,116.18,113.25,113.58,47023046,AAPL
9/16/2016,115.12,116.13,114.04,114.92,79886911,AAPL
9/15/2016,113.86,115.73,113.49,115.57,90613177,AAPL
9/14/2016,108.73,113.03,108.6,111.77,112340318,AAPL
9/13/2016,107.51,108.79,107.24,107.95,62176190,AAPL
9/12/2016,102.65,105.72,102.53,105.44,45292770,AAPL
9/9/2016,104.64,105.72,103.13,103.13,46556984,AAPL
9/8/2016,107.25,107.27,105.24,105.52,53002026,AAPL
9/7/2016,107.83,108.76,107.07,108.36,42364328,AAPL
9/6/2016,107.9,108.3,107.51,107.7,26880391,AAPL
9/2/2016,107.7,108,106.82,107.73,26334858,AAPL
9/1/2016,106.14,106.8,105.62,106.73,26701523,AAPL
8/31/2016,105.66,106.57,105.64,106.1,29662406,AAPL
8/30/2016,105.8,106.5,105.5,106,24863945,AAPL
8/29/2016,106.62,107.44,106.29,106.82,24970300,AAPL
8/26/2016,107.41,107.95,106.31,106.94,27766291,AAPL
8/25/2016,107.39,107.88,106.68,107.57,25086248,AAPL
8/24/2016,108.56,108.75,107.68,108.03,23675081,AAPL
8/23/2016,108.59,109.32,108.53,108.85,21257669,AAPL
8/22/2016,108.86,109.1,107.85,108.51,25820230,AAPL
8/19/2016,108.77,109.69,108.36,109.36,25368072,AAPL
8/18/2016,109.23,109.6,109.02,109.08,21984703,AAPL
8/17/2016,109.1,109.37,108.34,109.22,25355976,AAPL
8/16/2016,109.63,110.23,109.21,109.38,33794448,AAPL
8/15/2016,108.14,109.54,108.08,109.48,25868209,AAPL
8/12/2016,107.78,108.44,107.78,108.18,18660434,AAPL
8/11/2016,108.52,108.93,107.85,107.93,27484506,AAPL
8/10/2016,108.71,108.9,107.76,108,24008505,AAPL
8/9/2016,108.23,108.94,108.01,108.81,26315204,AAPL
8/8/2016,107.52,108.37,107.16,108.37,28037220,AAPL
8/5/2016,106.27,107.65,106.18,107.48,40553402,AAPL
8/4/2016,105.58,106,105.28,105.87,27408650,AAPL
8/3/2016,104.81,105.84,104.77,105.79,30202641,AAPL
8/2/2016,106.05,106.07,104,104.48,33816556,AAPL
8/1/2016,104.41,106.15,104.41,106.05,38167871,AAPL
7/29/2016,104.19,104.55,103.68,104.21,27733688,AAPL
7/28/2016,102.83,104.45,102.82,104.34,39869839,AAPL
7/27/2016,104.26,104.35,102.75,102.95,92344820,AAPL
7/26/2016,96.82,97.97,96.42,96.67,56239822,AAPL
7/25/2016,98.25,98.84,96.92,97.34,40382921,AAPL
7/22/2016,99.26,99.3,98.31,98.66,28313669,AAPL
7/21/2016,99.83,101,99.13,99.43,32702028,AAPL
7/20/2016,100,100.46,99.74,99.96,26275968,AAPL
7/19/2016,99.56,100,99.34,99.87,23779924,AAPL
7/18/2016,98.7,100.13,98.6,99.83,36493867,AAPL
7/15/2016,98.92,99.3,98.5,98.78,30136990,AAPL
7/14/2016,97.39,98.99,97.32,98.79,38918997,AAPL
7/13/2016,97.41,97.67,96.84,96.87,25892171,AAPL
7/12/2016,97.17,97.7,97.12,97.42,24167463,AAPL
7/11/2016,96.75,97.65,96.73,96.98,23794945,AAPL
7/8/2016,96.49,96.89,96.05,96.68,28912103,AAPL
7/7/2016,95.7,96.5,95.62,95.94,25139558,AAPL
7/6/2016,94.6,95.66,94.37,95.53,30949090,AAPL
7/5/2016,95.39,95.4,94.46,94.99,27705210,AAPL
7/1/2016,95.49,96.46,95.33,95.89,26026540,AAPL
6/30/2016,94.44,95.77,94.3,95.6,35836356,AAPL
6/29/2016,93.97,94.55,93.63,94.4,36531006,AAPL
6/28/2016,92.9,93.66,92.14,93.59,40444914,AAPL
6/27/2016,93,93.05,91.5,92.04,46622188,AAPL
6/24/2016,92.91,94.66,92.65,93.4,75311356,AAPL
6/23/2016,95.94,96.29,95.25,96.1,32240187,AAPL
6/22/2016,96.25,96.89,95.35,95.55,29219122,AAPL
6/21/2016,94.94,96.35,94.68,95.91,35546358,AAPL
6/20/2016,96,96.57,95.03,95.1,34411901,AAPL
6/17/2016,96.62,96.65,95.3,95.33,61008219,AAPL
6/16/2016,96.45,97.75,96.07,97.55,31326815,AAPL
6/15/2016,97.82,98.41,97.03,97.14,29445227,AAPL
6/14/2016,97.32,98.48,96.75,97.46,31931944,AAPL
6/13/2016,98.69,99.12,97.1,97.34,38020494,AAPL
6/10/2016,98.53,99.35,98.48,98.83,31712936,AAPL
6/9/2016,98.5,99.99,98.46,99.65,26601354,AAPL
6/8/2016,99.02,99.56,98.68,98.94,20848131,AAPL
6/7/2016,99.25,99.87,98.96,99.03,22409450,AAPL
6/6/2016,97.99,101.89,97.55,98.63,23292504,AAPL
6/3/2016,97.79,98.27,97.45,97.92,28504888,AAPL
6/2/2016,97.6,97.84,96.63,97.72,40191600,AAPL
6/1/2016,99.02,99.54,98.33,98.46,29173285,AAPL
5/31/2016,99.6,100.4,98.82,99.86,42307212,AAPL
5/27/2016,99.44,100.47,99.24,100.35,36229530,AAPL
5/26/2016,99.68,100.73,98.64,100.41,56093437,AAPL
5/25/2016,98.67,99.74,98.11,99.62,38168760,AAPL
5/24/2016,97.22,98.09,96.84,97.9,35036561,AAPL
5/23/2016,95.87,97.19,95.67,96.43,37860535,AAPL
5/20/2016,94.64,95.43,94.52,95.22,31804564,AAPL
5/19/2016,94.64,94.64,93.57,94.2,29693945,AAPL
5/18/2016,94.16,95.21,93.89,94.56,41923114,AAPL
5/17/2016,94.55,94.7,93.01,93.49,46507449,AAPL
5/16/2016,92.39,94.39,91.65,93.88,61140610,AAPL
5/13/2016,90,91.67,90,90.52,44188153,AAPL
5/12/2016,92.72,92.78,89.47,90.34,76109795,AAPL
5/11/2016,93.48,93.57,92.46,92.51,28539912,AAPL
5/10/2016,93.33,93.57,92.11,93.42,33592465,AAPL
5/9/2016,93,93.77,92.59,92.79,32855251,AAPL
5/6/2016,93.37,93.45,91.85,92.72,43458189,AAPL
5/5/2016,94,94.07,92.68,93.24,35763138,AAPL
5/4/2016,95.2,95.9,93.82,94.19,40824776,AAPL
5/3/2016,94.2,95.74,93.68,95.18,56533960,AAPL
5/2/2016,93.96,94.08,92.4,93.64,47736879,AAPL
4/29/2016,93.99,94.72,92.51,93.74,68334434,AAPL
4/28/2016,97.61,97.88,94.25,94.83,81990674,AAPL
4/27/2016,96,98.71,95.68,97.82,113538389,AAPL
4/26/2016,103.91,105.3,103.91,104.35,40338403,AAPL
4/25/2016,105,105.65,104.51,105.08,27950966,AAPL
4/22/2016,105.01,106.48,104.62,105.68,33477142,AAPL
4/21/2016,106.93,106.93,105.52,105.97,31356434,AAPL
4/20/2016,106.64,108.09,106.06,107.13,28666865,AAPL
4/19/2016,107.88,108,106.23,106.91,32292344,AAPL
4/18/2016,108.89,108.95,106.94,107.48,60834027,AAPL
4/15/2016,112.11,112.3,109.73,109.85,46418482,AAPL
4/14/2016,111.62,112.39,111.33,112.1,25337435,AAPL
4/13/2016,110.8,112.34,110.8,112.04,32691799,AAPL
4/12/2016,109.34,110.5,108.66,110.44,26812000,AAPL
4/11/2016,108.97,110.61,108.83,109.02,28313525,AAPL
4/8/2016,108.91,109.77,108.17,108.66,23514462,AAPL
4/7/2016,109.95,110.42,108.12,108.54,30881022,AAPL
4/6/2016,110.23,110.98,109.2,110.96,26047772,AAPL
4/5/2016,109.51,110.73,109.42,109.81,26495312,AAPL
4/4/2016,110.42,112.19,110.27,111.12,37243224,AAPL
4/1/2016,108.78,110,108.2,109.99,25626163,AAPL
3/31/2016,109.72,109.9,108.88,108.99,25685672,AAPL
3/30/2016,108.65,110.42,108.6,109.56,45159861,AAPL
3/29/2016,104.89,107.79,104.88,107.68,30774115,AAPL
3/28/2016,106,106.19,105.06,105.19,19303557,AAPL
3/24/2016,105.47,106.25,104.89,105.67,25480914,AAPL
3/23/2016,106.48,107.07,105.9,106.13,25452612,AAPL
3/22/2016,105.25,107.29,105.21,106.72,32232567,AAPL
3/21/2016,105.93,107.65,105.14,105.91,35180796,AAPL
3/18/2016,106.34,106.5,105.19,105.92,43402289,AAPL
3/17/2016,105.52,106.47,104.96,105.8,34244593,AAPL
3/16/2016,104.61,106.31,104.59,105.97,37893758,AAPL
3/15/2016,103.96,105.18,103.85,104.58,40067734,AAPL
3/14/2016,101.91,102.91,101.78,102.52,25027426,AAPL
3/11/2016,102.24,102.28,101.5,102.26,27200833,AAPL
3/10/2016,101.41,102.24,100.15,101.17,33513577,AAPL
3/9/2016,101.31,101.58,100.27,101.12,27130729,AAPL
3/8/2016,100.78,101.76,100.4,101.03,31274161,AAPL
3/7/2016,102.39,102.83,100.96,101.87,35828909,AAPL
3/4/2016,102.37,103.75,101.37,103.01,45936485,AAPL
3/3/2016,100.58,101.71,100.45,101.5,36792245,AAPL
3/2/2016,100.51,100.89,99.64,100.75,33084941,AAPL
3/1/2016,97.65,100.77,97.42,100.53,50153943,AAPL
2/29/2016,96.86,98.23,96.65,96.69,34876558,AAPL
2/26/2016,97.2,98.02,96.58,96.91,28913208,AAPL
2/25/2016,96.05,96.76,95.25,96.76,27393905,AAPL
2/24/2016,93.98,96.38,93.32,96.1,36155642,AAPL
2/23/2016,96.4,96.5,94.55,94.69,31686699,AAPL
2/22/2016,96.31,96.9,95.92,96.88,34048195,AAPL
2/19/2016,96,96.76,95.8,96.04,34485576,AAPL
2/18/2016,98.84,98.89,96.09,96.26,38494442,AAPL
2/17/2016,96.67,98.21,96.15,98.12,44390173,AAPL
2/16/2016,95.02,96.85,94.61,96.64,47490678,AAPL
2/12/2016,94.19,94.5,93.01,93.99,40121670,AAPL
2/11/2016,93.79,94.72,92.59,93.7,49686210,AAPL
2/10/2016,95.92,96.35,94.1,94.27,42244975,AAPL
2/9/2016,94.29,95.94,93.93,94.99,44262912,AAPL
2/8/2016,93.13,95.7,93.04,95.01,53852284,AAPL
2/5/2016,96.52,96.92,93.69,94.02,45853883,AAPL
2/4/2016,95.86,97.33,95.19,96.6,46263907,AAPL
2/3/2016,95,96.84,94.08,96.35,45366710,AAPL
2/2/2016,95.42,96.04,94.28,94.48,37081206,AAPL
2/1/2016,96.47,96.71,95.4,96.43,40571593,AAPL
1/29/2016,94.79,97.34,94.35,97.34,64010141,AAPL
1/28/2016,93.79,94.52,92.39,94.09,55557109,AAPL
1/27/2016,96.04,96.63,93.34,93.42,132224500,AAPL
1/26/2016,99.93,100.88,98.07,99.99,63538305,AAPL
1/25/2016,101.52,101.53,99.21,99.44,51196375,AAPL
1/22/2016,98.63,101.46,98.37,101.42,65562769,AAPL
1/21/2016,97.06,97.88,94.94,96.3,52054521,AAPL
1/20/2016,95.1,98.19,93.42,96.79,72008265,AAPL
1/19/2016,98.41,98.65,95.5,96.66,52841349,AAPL
1/15/2016,96.2,97.71,95.36,97.13,79010008,AAPL
1/14/2016,97.96,100.48,95.74,99.52,62424154,AAPL
1/13/2016,100.32,101.19,97.3,97.39,61745031,AAPL
1/12/2016,100.55,100.69,98.84,99.96,49154227,AAPL
1/11/2016,98.97,99.06,97.34,98.53,49739377,AAPL
1/8/2016,98.55,99.11,96.76,96.96,70798016,AAPL
1/7/2016,98.68,100.13,96.43,96.45,81094428,AAPL
1/6/2016,100.56,102.37,99.87,100.7,68457388,AAPL
1/5/2016,105.75,105.85,102.41,102.71,55790992,AAPL
1/4/2016,102.61,105.37,102,105.35,67281190,AAPL
12/31/2015,107.01,107.03,104.82,105.26,40912316,AAPL
12/30/2015,108.58,108.7,107.18,107.32,25213777,AAPL
12/29/2015,106.96,109.43,106.86,108.74,30931243,AAPL
12/28/2015,107.59,107.69,106.18,106.82,26704210,AAPL
12/24/2015,109,109,107.95,108.03,13596680,AAPL
12/23/2015,107.27,108.85,107.2,108.61,32657354,AAPL
12/22/2015,107.4,107.72,106.45,107.23,32789367,AAPL
12/21/2015,107.28,107.37,105.57,107.33,47590610,AAPL
12/18/2015,108.91,109.52,105.81,106.03,96453327,AAPL
12/17/2015,112.02,112.25,108.98,108.98,44772827,AAPL
12/16/2015,111.07,111.99,108.8,111.34,56238467,AAPL
12/15/2015,111.94,112.8,110.35,110.49,53323105,AAPL
12/14/2015,112.18,112.68,109.79,112.48,64318732,AAPL
12/11/2015,115.19,115.39,112.85,113.18,46886161,AAPL
12/10/2015,116.04,116.94,115.51,116.17,29212727,AAPL
12/9/2015,115.3,117.69,115.08,115.62,46361357,AAPL
12/8/2015,117.52,118.6,116.86,118.23,34309450,AAPL
12/7/2015,118.32,119.86,117.81,118.28,32084249,AAPL
12/4/2015,115.29,119.25,115.11,119.03,57776977,AAPL
12/3/2015,115.24,116.79,114.22,115.2,41569509,AAPL
12/2/2015,117.34,118.11,116.08,116.28,33198964,AAPL
12/1/2015,118.75,118.81,116.86,117.34,34700991,AAPL
11/30/2015,117.99,119.41,117.75,118.3,37658671,AAPL
11/27/2015,118.29,118.41,117.6,117.81,13043720,AAPL
11/25/2015,119.21,119.23,117.92,118.03,21388308,AAPL
11/24/2015,117.33,119.35,117.12,118.88,42426855,AAPL
11/23/2015,119.27,119.73,117.34,117.75,32266736,AAPL
11/20/2015,119.2,119.92,118.85,119.3,34103529,AAPL
11/19/2015,117.64,119.75,116.76,118.78,42908179,AAPL
11/18/2015,115.76,117.49,115.5,117.29,46163404,AAPL
11/17/2015,114.92,115.05,113.32,113.69,27253964,AAPL
11/16/2015,111.38,114.24,111,114.18,37651022,AAPL
11/13/2015,115.2,115.57,112.27,112.34,45164053,AAPL
11/12/2015,116.26,116.82,115.65,115.72,32262598,AAPL
11/11/2015,116.37,117.42,115.21,116.11,45104903,AAPL
11/10/2015,116.9,118.07,116.06,116.77,58635125,AAPL
11/9/2015,120.96,121.81,120.05,120.57,33657546,AAPL
11/2/2016,778.2,781.65,763.45,768.7,1918414,GOOG
11/1/2016,782.89,789.49,775.54,783.61,2406356,GOOG
10/31/2016,795.47,796.86,784,784.54,2427284,GOOG
10/28/2016,808.35,815.49,793.59,795.37,4269902,GOOG
10/27/2016,801,803.49,791.5,795.35,2749221,GOOG
10/26/2016,806.34,806.98,796.32,799.07,1647733,GOOG
10/25/2016,816.68,816.68,805.14,807.67,1576404,GOOG
10/24/2016,804.9,815.18,804.82,813.11,1697514,GOOG
10/21/2016,795,799.5,794,799.37,1266181,GOOG
10/20/2016,803.3,803.97,796.03,796.97,1757528,GOOG
10/19/2016,798.86,804.63,797.64,801.56,1766798,GOOG
10/18/2016,787.85,801.61,785.56,795.26,2056903,GOOG
10/17/2016,779.8,785.85,777.5,779.96,1092973,GOOG
10/14/2016,781.65,783.95,776,778.53,852487,GOOG
10/13/2016,781.22,781.22,773,778.19,1365277,GOOG
10/12/2016,783.76,788.13,782.06,786.14,937435,GOOG
10/11/2016,786.66,792.28,780.58,783.07,1372461,GOOG
10/10/2016,777.71,789.38,775.87,785.94,1174923,GOOG
10/7/2016,779.66,779.66,770.75,775.08,933158,GOOG
10/6/2016,779,780.48,775.54,776.86,1070692,GOOG
10/5/2016,779.31,782.07,775.65,776.47,1461151,GOOG
10/4/2016,776.03,778.71,772.89,776.43,1201350,GOOG
10/3/2016,774.25,776.06,769.5,772.56,1278821,GOOG
9/30/2016,776.33,780.94,774.09,777.29,1585333,GOOG
9/29/2016,781.44,785.8,774.23,775.01,1314746,GOOG
9/28/2016,777.85,781.81,774.97,781.56,1109834,GOOG
9/27/2016,775.5,785.99,774.31,783.01,1153247,GOOG
9/26/2016,782.74,782.74,773.07,774.21,1533206,GOOG
9/23/2016,786.59,788.93,784.15,786.9,1411937,GOOG
9/22/2016,780,789.85,778.44,787.21,1486223,GOOG
9/21/2016,772.66,777.16,768.3,776.22,1167810,GOOG
9/20/2016,769,773.33,768.53,771.41,978631,GOOG
9/19/2016,772.42,774,764.44,765.7,1172824,GOOG
9/16/2016,769.75,769.75,764.66,768.88,2049338,GOOG
9/15/2016,762.89,773.8,759.96,771.76,1346751,GOOG
9/14/2016,759.61,767.68,759.11,762.49,1094490,GOOG
9/13/2016,764.48,766.22,755.8,759.69,1395046,GOOG
9/12/2016,755.13,770.29,754,769.02,1310986,GOOG
9/9/2016,770.1,773.24,759.66,759.66,1885496,GOOG
9/8/2016,778.59,780.35,773.58,775.32,1270264,GOOG
9/7/2016,780,782.73,776.2,780.35,894021,GOOG
9/6/2016,773.45,782,771,780.08,1442822,GOOG
9/2/2016,773.01,773.92,768.41,771.46,1072658,GOOG
9/1/2016,769.25,771.02,764.3,768.78,925131,GOOG
8/31/2016,767.01,769.09,765.38,767.05,1248556,GOOG
8/30/2016,769.33,774.47,766.84,769.09,1130029,GOOG
8/29/2016,768.74,774.99,766.62,772.15,847565,GOOG
8/26/2016,769,776.08,765.85,769.54,1166681,GOOG
8/25/2016,767,771.89,763.18,769.41,926883,GOOG
8/24/2016,770.58,774.5,767.07,769.64,1071999,GOOG
8/23/2016,775.48,776.44,771.78,772.08,928232,GOOG
8/22/2016,773.27,774.54,770.05,772.15,951362,GOOG
8/19/2016,775,777.1,773.13,775.42,861546,GOOG
8/18/2016,780.01,782.86,777,777.5,719429,GOOG
8/17/2016,777.32,780.81,773.53,779.91,924226,GOOG
8/16/2016,780.3,780.98,773.44,777.14,1028047,GOOG
8/15/2016,783.75,787.49,780.11,782.44,938186,GOOG
8/12/2016,781.5,783.4,780.4,783.22,740498,GOOG
8/11/2016,785,789.75,782.97,784.85,975113,GOOG
8/10/2016,783.75,786.81,782.78,784.68,786363,GOOG
8/9/2016,781.1,788.94,780.57,784.26,1318894,GOOG
8/8/2016,782,782.63,778.09,781.76,1107857,GOOG
8/5/2016,773.78,783.04,772.34,782.22,1801205,GOOG
8/4/2016,772.22,774.07,768.8,771.61,1140254,GOOG
8/3/2016,767.18,773.21,766.82,773.18,1287421,GOOG
8/2/2016,768.69,775.84,767.85,771.07,1784525,GOOG
8/1/2016,761.09,780.43,761.09,772.88,2700470,GOOG
7/29/2016,772.71,778.55,766.77,768.79,3841482,GOOG
7/28/2016,747.04,748.65,739.3,745.91,3530169,GOOG
7/27/2016,738.28,744.46,737,741.77,1512517,GOOG
7/26/2016,739.04,741.69,734.27,738.42,1186738,GOOG
7/25/2016,740.67,742.61,737.5,739.77,1032432,GOOG
7/22/2016,741.86,743.24,736.56,742.74,1259823,GOOG
7/21/2016,740.36,741.69,735.83,738.63,1026306,GOOG
7/20/2016,737.33,742.13,737.1,741.19,1289671,GOOG
7/19/2016,729.89,736.99,729,736.96,1227486,GOOG
7/18/2016,722.71,736.13,721.19,733.78,1295476,GOOG
7/15/2016,725.73,725.74,719.06,719.85,1279339,GOOG
7/14/2016,721.58,722.21,718.03,720.95,950193,GOOG
7/13/2016,723.62,724,716.85,716.98,935876,GOOG
7/12/2016,719.12,722.94,715.91,720.64,1336921,GOOG
7/11/2016,708.05,716.51,707.24,715.09,1111762,GOOG
7/8/2016,699.5,705.71,696.44,705.63,1575166,GOOG
7/7/2016,698.08,698.2,688.22,695.36,1304200,GOOG
7/6/2016,689.98,701.68,689.09,697.77,1411925,GOOG
7/5/2016,696.06,696.94,688.88,694.49,1462616,GOOG
7/1/2016,692.2,700.65,692.13,699.21,1344710,GOOG
6/30/2016,685.47,692.32,683.65,692.1,1597714,GOOG
6/29/2016,683,687.43,681.41,684.11,1932561,GOOG
6/28/2016,678.97,680.33,673,680.04,2173762,GOOG
6/27/2016,671,672.3,663.28,668.26,2641085,GOOG
6/24/2016,675.17,689.4,673.45,675.22,4449022,GOOG
6/23/2016,697.45,701.95,687,701.87,2171415,GOOG
6/22/2016,699.06,700.86,693.08,697.46,1184318,GOOG
6/21/2016,698.4,702.77,692.01,695.94,1465634,GOOG
6/20/2016,698.77,702.48,693.41,693.71,2082538,GOOG
6/17/2016,708.65,708.82,688.45,691.72,3402357,GOOG
6/16/2016,714.91,716.65,703.26,710.36,1982471,GOOG
6/15/2016,719,722.98,717.31,718.92,1214517,GOOG
6/14/2016,716.48,722.47,713.12,718.27,1306065,GOOG
6/13/2016,716.51,725.44,716.51,718.36,1258930,GOOG
6/10/2016,719.47,725.89,716.43,719.41,1216443,GOOG
6/9/2016,722.87,729.54,722.34,728.58,988914,GOOG
6/8/2016,723.96,728.57,720.58,728.28,1583701,GOOG
6/7/2016,719.84,721.98,716.55,716.65,1336754,GOOG
6/6/2016,724.91,724.91,714.61,716.55,1566059,GOOG
6/3/2016,729.27,729.49,720.56,722.34,1226253,GOOG
6/2/2016,732.5,733.02,724.17,730.4,1341807,GOOG
6/1/2016,734.53,737.21,730.66,734.15,1253593,GOOG
5/31/2016,731.74,739.73,731.26,735.72,2129545,GOOG
5/27/2016,724.01,733.94,724,732.66,1974026,GOOG
5/26/2016,722.87,728.33,720.28,724.12,1542866,GOOG
5/25/2016,720.76,727.51,719.7,725.27,1629198,GOOG
5/24/2016,706.86,720.97,706.86,720.09,1920411,GOOG
5/23/2016,706.53,711.48,704.18,704.24,1320927,GOOG
5/20/2016,701.62,714.58,700.52,709.74,1816027,GOOG
5/19/2016,702.36,706,696.8,700.32,1656321,GOOG
5/18/2016,703.67,711.6,700.63,706.63,1763394,GOOG
5/17/2016,715.99,721.52,704.11,706.23,1999456,GOOG
5/16/2016,709.13,718.48,705.65,716.49,1316177,GOOG
5/13/2016,711.93,716.66,709.26,710.83,1307338,GOOG
5/12/2016,717.06,719.25,709,713.31,1360732,GOOG
5/11/2016,723.41,724.48,712.8,715.29,1686823,GOOG
5/10/2016,716.75,723.5,715.72,723.18,1563105,GOOG
5/9/2016,712,718.71,710,712.9,1508423,GOOG
5/6/2016,698.38,711.86,698.11,711.12,1826146,GOOG
5/5/2016,697.7,702.32,695.72,701.43,1677405,GOOG
5/4/2016,690.49,699.75,689.01,695.7,1688569,GOOG
5/3/2016,696.87,697.84,692,692.36,1530993,GOOG
5/2/2016,697.63,700.64,691,698.21,1644126,GOOG
4/29/2016,690.7,697.62,689,693.01,2484273,GOOG
4/28/2016,708.26,714.17,689.55,691.02,2851108,GOOG
4/27/2016,707.29,708.98,692.37,705.84,3086722,GOOG
4/26/2016,725.42,725.77,703.03,708.14,2727185,GOOG
4/25/2016,716.1,723.93,715.59,723.15,1955567,GOOG
4/22/2016,726.3,736.12,713.61,718.77,5939199,GOOG
4/21/2016,755.38,760.45,749.55,759.14,2743620,GOOG
4/20/2016,758,758.13,750.01,752.67,1525591,GOOG
4/19/2016,769.51,769.9,749.33,753.93,2027642,GOOG
4/18/2016,760.46,768.05,757.3,766.61,1555953,GOOG
4/15/2016,753.98,761,752.69,759,1800413,GOOG
4/14/2016,754.01,757.31,752.7,753.2,1130971,GOOG
4/13/2016,749.16,754.38,744.26,751.72,1707095,GOOG
4/12/2016,738,743.83,731.01,743.09,1349734,GOOG
4/11/2016,743.02,745,736.05,736.1,1211762,GOOG
4/8/2016,743.97,745.45,735.55,739.15,1285755,GOOG
4/7/2016,745.37,747,736.28,740.28,1429504,GOOG
4/6/2016,735.77,746.24,735.56,745.69,1050193,GOOG
4/5/2016,738,742.8,735.37,737.8,1129829,GOOG
4/4/2016,750.06,752.8,742.43,745.29,1131843,GOOG
4/1/2016,738.6,750.34,737,749.91,1574870,GOOG
3/31/2016,749.25,750.85,740.94,744.95,1712375,GOOG
3/30/2016,750.1,757.88,748.74,750.53,1780998,GOOG
3/29/2016,734.59,747.25,728.76,744.77,1902128,GOOG
3/28/2016,736.79,738.99,732.5,733.53,1299812,GOOG
3/24/2016,732.01,737.75,731,735.3,1564782,GOOG
3/23/2016,742.36,745.72,736.15,738.06,1421861,GOOG
3/22/2016,737.46,745,737.46,740.75,1264396,GOOG
